Region,Grade,Sample Name,Absorbance,Concentration,Dry matter content,Caffiene Content
Sabaragamuwa Region,BOPF,SAB_BOPF_26445,0.325,21.97,94.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_27872,0.34,18.74,92.04,
Sabaragamuwa Region,BOPF,SAB_BOPF_29595,0.385,17.95,94.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_15612,0.302,18.08,93.37,
Sabaragamuwa Region,BOPF,SAB_BOPF_30452,0.303,20.04,93.2,
Sabaragamuwa Region,BOPF,SAB_BOPF_17987,0.298,19.72,96.05,
Sabaragamuwa Region,BOPF,SAB_BOPF_32794,0.357,17.5,93.7,
Sabaragamuwa Region,BOPF,SAB_BOPF_22477,0.356,20.85,92.39,
Sabaragamuwa Region,BOPF,SAB_BOPF_21795,0.301,18.66,94.7,
Sabaragamuwa Region,BOPF,SAB_BOPF_00189,0.388,16.89,92.09,
Sabaragamuwa Region,BOPF,SAB_BOPF_08358,0.357,20.08,96.85,
Sabaragamuwa Region,BOPF,SAB_BOPF_23701,0.285,20.14,94.76,
Sabaragamuwa Region,BOPF,SAB_BOPF_12495,0.268,19.02,94.5,
Sabaragamuwa Region,BOPF,SAB_BOPF_16866,0.33,22.01,93.66,
Sabaragamuwa Region,BOPF,SAB_BOPF_30237,0.317,18.39,93.47,
Sabaragamuwa Region,BOPF,SAB_BOPF_14652,0.281,17.07,93.75,
Sabaragamuwa Region,BOPF,SAB_BOPF_16962,0.368,18.07,92.36,
Sabaragamuwa Region,BOPF,SAB_BOPF_13905,0.302,14.98,94.36,
Sabaragamuwa Region,BOPF,SAB_BOPF_35408,0.411,19.25,93.55,
Sabaragamuwa Region,BOPF,SAB_BOPF_01326,0.325,14.94,94.54,
Sabaragamuwa Region,BOPF,SAB_BOPF_37478,0.365,17.98,93.61,
Sabaragamuwa Region,BOPF,SAB_BOPF_23739,0.364,20.73,93.18,
Sabaragamuwa Region,BOPF,SAB_BOPF_04002,0.338,20.36,96.73,
Sabaragamuwa Region,BOPF,SAB_BOPF_10688,0.331,20.61,91.85,
Sabaragamuwa Region,BOPF,SAB_BOPF_07560,0.314,18.74,94.1,
Sabaragamuwa Region,BOPF,SAB_BOPF_14227,0.349,19.8,91.64,
Sabaragamuwa Region,BOPF,SAB_BOPF_12539,0.375,17.51,94.81,
Sabaragamuwa Region,BOPF,SAB_BOPF_32544,0.362,16.53,93.95,
Sabaragamuwa Region,BOPF,SAB_BOPF_23579,0.287,19.81,95.07,
Sabaragamuwa Region,BOPF,SAB_BOPF_31144,0.295,22.03,94.85,
Sabaragamuwa Region,BOPF,SAB_BOPF_18021,0.388,19.81,92.87,
Sabaragamuwa Region,BOPF,SAB_BOPF_08453,0.407,19.47,94.54,
Sabaragamuwa Region,BOPF,SAB_BOPF_27499,0.358,19.34,93.4,
Sabaragamuwa Region,BOPF,SAB_BOPF_14866,0.355,21.9,94.61,
Sabaragamuwa Region,BOPF,SAB_BOPF_20445,0.31,15.37,93.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_08517,0.295,17.04,93.51,
Sabaragamuwa Region,BOPF,SAB_BOPF_28823,0.372,18.32,91.42,
Sabaragamuwa Region,BOPF,SAB_BOPF_03403,0.355,19.74,92.34,
Sabaragamuwa Region,BOPF,SAB_BOPF_03834,0.348,17.93,96.66,
Sabaragamuwa Region,BOPF,SAB_BOPF_29862,0.299,20.3,94.94,
Sabaragamuwa Region,BOPF,SAB_BOPF_29186,0.36,19.76,94.27,
Sabaragamuwa Region,BOPF,SAB_BOPF_20899,0.437,20.26,95.14,
Sabaragamuwa Region,BOPF,SAB_BOPF_35516,0.377,15.23,94.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_03359,0.34,20.65,91.83,
Sabaragamuwa Region,BOPF,SAB_BOPF_13663,0.343,17.24,94.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_32904,0.343,19.99,94.75,
Sabaragamuwa Region,BOPF,SAB_BOPF_28899,0.352,21.36,93.74,
Sabaragamuwa Region,BOPF,SAB_BOPF_29718,0.322,19.92,94.67,
Sabaragamuwa Region,BOPF,SAB_BOPF_17283,0.331,16.41,94.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_08902,0.367,18.2,94.27,
Sabaragamuwa Region,BOPF,SAB_BOPF_38525,0.356,18.4,96.2,
Sabaragamuwa Region,BOPF,SAB_BOPF_25698,0.359,16.43,93.33,
Sabaragamuwa Region,BOPF,SAB_BOPF_28860,0.384,20.14,95.34,
Sabaragamuwa Region,BOPF,SAB_BOPF_25437,0.322,17.41,91.24,
Sabaragamuwa Region,BOPF,SAB_BOPF_26893,0.333,18.0,93.62,
Sabaragamuwa Region,BOPF,SAB_BOPF_25232,0.367,19.37,93.39,
Sabaragamuwa Region,BOPF,SAB_BOPF_39600,0.329,17.06,94.14,
Sabaragamuwa Region,BOPF,SAB_BOPF_08591,0.364,20.59,93.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_07949,0.353,18.39,94.72,
Sabaragamuwa Region,BOPF,SAB_BOPF_06062,0.311,17.6,95.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_34821,0.328,18.11,92.98,
Sabaragamuwa Region,BOPF,SAB_BOPF_01572,0.33,18.78,94.04,
Sabaragamuwa Region,BOPF,SAB_BOPF_14843,0.318,18.66,93.97,
Sabaragamuwa Region,BOPF,SAB_BOPF_34977,0.327,18.46,95.13,
Sabaragamuwa Region,BOPF,SAB_BOPF_05160,0.312,17.26,96.29,
Sabaragamuwa Region,BOPF,SAB_BOPF_00079,0.298,20.01,95.91,
Sabaragamuwa Region,BOPF,SAB_BOPF_38148,0.382,22.53,93.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_03750,0.355,19.4,93.32,
Sabaragamuwa Region,BOPF,SAB_BOPF_07442,0.33,20.99,92.44,
Sabaragamuwa Region,BOPF,SAB_BOPF_28062,0.327,15.98,93.87,
Sabaragamuwa Region,BOPF,SAB_BOPF_16591,0.314,18.55,93.24,
Sabaragamuwa Region,BOPF,SAB_BOPF_19243,0.344,17.82,93.12,
Sabaragamuwa Region,BOPF,SAB_BOPF_20121,0.368,17.84,91.92,
Sabaragamuwa Region,BOPF,SAB_BOPF_00295,0.297,18.38,94.37,
Sabaragamuwa Region,BOPF,SAB_BOPF_29707,0.368,14.95,93.66,
Sabaragamuwa Region,BOPF,SAB_BOPF_29878,0.348,17.9,93.25,
Sabaragamuwa Region,BOPF,SAB_BOPF_38157,0.32,16.33,91.08,
Sabaragamuwa Region,BOPF,SAB_BOPF_37594,0.371,17.95,92.34,
Sabaragamuwa Region,BOPF,SAB_BOPF_37989,0.247,19.24,93.31,
Sabaragamuwa Region,BOPF,SAB_BOPF_02865,0.364,20.44,93.83,
Sabaragamuwa Region,BOPF,SAB_BOPF_24998,0.354,19.94,95.57,
Sabaragamuwa Region,BOPF,SAB_BOPF_19988,0.32,17.72,97.08,
Sabaragamuwa Region,BOPF,SAB_BOPF_35169,0.295,18.97,93.25,
Sabaragamuwa Region,BOPF,SAB_BOPF_23398,0.344,18.04,95.84,
Sabaragamuwa Region,BOPF,SAB_BOPF_20282,0.303,17.05,95.28,
Sabaragamuwa Region,BOPF,SAB_BOPF_36881,0.317,22.09,95.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_38287,0.31,17.26,94.45,
Sabaragamuwa Region,BOPF,SAB_BOPF_35054,0.343,17.7,92.75,
Sabaragamuwa Region,BOPF,SAB_BOPF_03623,0.308,18.94,95.5,
Sabaragamuwa Region,BOPF,SAB_BOPF_13072,0.333,15.21,95.55,
Sabaragamuwa Region,BOPF,SAB_BOPF_26363,0.306,20.33,94.45,
Sabaragamuwa Region,BOPF,SAB_BOPF_28632,0.276,21.13,92.92,
Sabaragamuwa Region,BOPF,SAB_BOPF_39872,0.299,19.04,92.39,
Sabaragamuwa Region,BOPF,SAB_BOPF_06193,0.318,16.61,93.87,
Sabaragamuwa Region,BOPF,SAB_BOPF_13152,0.323,17.8,92.76,
Sabaragamuwa Region,BOPF,SAB_BOPF_33088,0.216,18.96,94.96,
Sabaragamuwa Region,BOPF,SAB_BOPF_24281,0.324,17.7,96.72,
Sabaragamuwa Region,BOPF,SAB_BOPF_38084,0.33,21.24,93.95,
Sabaragamuwa Region,BOPF,SAB_BOPF_28059,0.292,20.21,95.8,
Sabaragamuwa Region,BOPF,SAB_BOPF_21885,0.288,21.01,91.71,
Sabaragamuwa Region,BOPF,SAB_BOPF_01941,0.407,18.61,94.3,
Sabaragamuwa Region,BOPF,SAB_BOPF_21539,0.285,20.85,95.04,
Sabaragamuwa Region,BOPF,SAB_BOPF_26737,0.355,17.96,90.91,
Sabaragamuwa Region,BOPF,SAB_BOPF_21525,0.389,17.48,94.81,
Sabaragamuwa Region,BOPF,SAB_BOPF_04938,0.31,22.9,90.57,
Sabaragamuwa Region,BOPF,SAB_BOPF_10077,0.347,17.31,94.37,
Sabaragamuwa Region,BOPF,SAB_BOPF_27437,0.345,20.22,94.67,
Sabaragamuwa Region,BOPF,SAB_BOPF_19678,0.339,22.61,91.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_07254,0.323,21.45,92.87,
Sabaragamuwa Region,BOPF,SAB_BOPF_29201,0.296,20.92,93.71,
Sabaragamuwa Region,BOPF,SAB_BOPF_07856,0.308,16.99,89.36,
Sabaragamuwa Region,BOPF,SAB_BOPF_11178,0.303,15.62,93.24,
Sabaragamuwa Region,BOPF,SAB_BOPF_05306,0.305,15.74,95.45,
Sabaragamuwa Region,BOPF,SAB_BOPF_18813,0.326,18.76,92.95,
Sabaragamuwa Region,BOPF,SAB_BOPF_25509,0.353,18.57,92.67,
Sabaragamuwa Region,BOPF,SAB_BOPF_27657,0.394,19.68,92.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_10307,0.39,21.51,96.14,
Sabaragamuwa Region,BOPF,SAB_BOPF_03674,0.341,20.19,94.66,
Sabaragamuwa Region,BOPF,SAB_BOPF_19542,0.322,20.67,92.47,
Sabaragamuwa Region,BOPF,SAB_BOPF_19532,0.419,22.32,93.87,
Sabaragamuwa Region,BOPF,SAB_BOPF_06728,0.327,20.16,95.33,
Sabaragamuwa Region,BOPF,SAB_BOPF_32885,0.416,19.56,95.02,
Sabaragamuwa Region,BOPF,SAB_BOPF_26401,0.358,17.96,94.31,
Sabaragamuwa Region,BOPF,SAB_BOPF_21377,0.342,20.14,93.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_39632,0.291,18.86,95.36,
Sabaragamuwa Region,BOPF,SAB_BOPF_34289,0.337,18.86,92.51,
Sabaragamuwa Region,BOPF,SAB_BOPF_32378,0.368,19.09,93.76,
Sabaragamuwa Region,BOPF,SAB_BOPF_36625,0.41,17.2,94.4,
Sabaragamuwa Region,BOPF,SAB_BOPF_06480,0.349,21.26,94.57,
Sabaragamuwa Region,BOPF,SAB_BOPF_03913,0.364,19.43,94.24,
Sabaragamuwa Region,BOPF,SAB_BOPF_38785,0.342,20.89,94.68,
Sabaragamuwa Region,BOPF,SAB_BOPF_00526,0.347,23.74,92.71,
Sabaragamuwa Region,BOPF,SAB_BOPF_07806,0.324,20.18,94.42,
Sabaragamuwa Region,BOPF,SAB_BOPF_36534,0.348,20.72,93.92,
Sabaragamuwa Region,BOPF,SAB_BOPF_06366,0.382,19.84,93.22,
Sabaragamuwa Region,BOPF,SAB_BOPF_32654,0.369,18.84,97.09,
Sabaragamuwa Region,BOPF,SAB_BOPF_12067,0.325,18.73,94.04,
Sabaragamuwa Region,BOPF,SAB_BOPF_06639,0.34,14.94,92.3,
Sabaragamuwa Region,BOPF,SAB_BOPF_32935,0.296,22.51,92.64,
Sabaragamuwa Region,BOPF,SAB_BOPF_34078,0.356,20.32,95.44,
Sabaragamuwa Region,BOPF,SAB_BOPF_13982,0.382,19.76,95.68,
Sabaragamuwa Region,BOPF,SAB_BOPF_19808,0.307,15.69,95.32,
Sabaragamuwa Region,BOPF,SAB_BOPF_12846,0.301,18.92,92.29,
Sabaragamuwa Region,BOPF,SAB_BOPF_37566,0.306,18.96,93.99,
Sabaragamuwa Region,BOPF,SAB_BOPF_00972,0.273,20.77,95.34,
Sabaragamuwa Region,BOPF,SAB_BOPF_23464,0.43,17.36,94.35,
Sabaragamuwa Region,BOPF,SAB_BOPF_17174,0.335,18.01,94.09,
Sabaragamuwa Region,BOPF,SAB_BOPF_26293,0.379,16.46,95.14,
Sabaragamuwa Region,BOPF,SAB_BOPF_14697,0.288,16.68,93.97,
Sabaragamuwa Region,BOPF,SAB_BOPF_00913,0.23,19.76,96.43,
Sabaragamuwa Region,BOPF,SAB_BOPF_03749,0.242,18.9,93.27,
Sabaragamuwa Region,BOPF,SAB_BOPF_18655,0.36,18.35,93.54,
Sabaragamuwa Region,BOPF,SAB_BOPF_32038,0.433,20.31,93.18,
Sabaragamuwa Region,BOPF,SAB_BOPF_19923,0.289,19.73,93.76,
Sabaragamuwa Region,BOPF,SAB_BOPF_23396,0.407,20.59,93.42,
Sabaragamuwa Region,BOPF,SAB_BOPF_39785,0.375,15.79,94.78,
Sabaragamuwa Region,BOPF,SAB_BOPF_31385,0.37,18.59,91.86,
Sabaragamuwa Region,BOPF,SAB_BOPF_12672,0.341,16.12,94.1,
Sabaragamuwa Region,BOPF,SAB_BOPF_33271,0.392,16.27,92.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_31283,0.352,20.24,90.64,
Sabaragamuwa Region,BOPF,SAB_BOPF_05503,0.404,18.65,93.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_00781,0.432,19.14,92.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_21402,0.467,21.48,93.44,
Sabaragamuwa Region,BOPF,SAB_BOPF_34920,0.332,15.69,94.33,
Sabaragamuwa Region,BOPF,SAB_BOPF_21949,0.336,20.0,93.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_31152,0.314,16.2,94.28,
Sabaragamuwa Region,BOPF,SAB_BOPF_32700,0.352,19.81,90.92,
Sabaragamuwa Region,BOPF,SAB_BOPF_28528,0.329,19.67,94.37,
Sabaragamuwa Region,BOPF,SAB_BOPF_15359,0.356,21.27,93.09,
Sabaragamuwa Region,BOPF,SAB_BOPF_32552,0.4,17.68,94.55,
Sabaragamuwa Region,BOPF,SAB_BOPF_04297,0.296,17.04,91.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_33285,0.265,16.81,92.76,
Sabaragamuwa Region,BOPF,SAB_BOPF_18993,0.385,18.54,91.27,
Sabaragamuwa Region,BOPF,SAB_BOPF_00337,0.331,18.49,95.3,
Sabaragamuwa Region,BOPF,SAB_BOPF_38996,0.273,16.29,92.73,
Sabaragamuwa Region,BOPF,SAB_BOPF_04291,0.356,20.39,91.12,
Sabaragamuwa Region,BOPF,SAB_BOPF_12203,0.41,18.0,95.23,
Sabaragamuwa Region,BOPF,SAB_BOPF_15380,0.366,19.41,96.89,
Sabaragamuwa Region,BOPF,SAB_BOPF_00990,0.379,20.2,94.86,
Sabaragamuwa Region,BOPF,SAB_BOPF_23696,0.315,19.51,95.51,
Sabaragamuwa Region,BOPF,SAB_BOPF_29231,0.41,20.31,92.66,
Sabaragamuwa Region,BOPF,SAB_BOPF_18605,0.314,19.1,96.26,
Sabaragamuwa Region,BOPF,SAB_BOPF_19926,0.26,17.65,96.78,
Sabaragamuwa Region,BOPF,SAB_BOPF_35062,0.357,15.54,94.02,
Sabaragamuwa Region,BOPF,SAB_BOPF_07052,0.443,17.05,93.12,
Sabaragamuwa Region,BOPF,SAB_BOPF_20518,0.347,19.31,94.99,
Sabaragamuwa Region,BOPF,SAB_BOPF_00460,0.281,17.76,92.87,
Sabaragamuwa Region,BOPF,SAB_BOPF_01653,0.42,18.12,93.64,
Sabaragamuwa Region,BOPF,SAB_BOPF_28636,0.325,17.6,93.17,
Sabaragamuwa Region,BOPF,SAB_BOPF_17470,0.294,21.04,93.46,
Sabaragamuwa Region,BOPF,SAB_BOPF_06398,0.322,20.26,93.78,
Sabaragamuwa Region,BOPF,SAB_BOPF_07124,0.379,17.98,93.15,
Sabaragamuwa Region,BOPF,SAB_BOPF_13677,0.382,19.08,94.72,
Sabaragamuwa Region,BOPF,SAB_BOPF_01276,0.276,19.6,93.37,
Sabaragamuwa Region,BOPF,SAB_BOPF_07172,0.252,20.6,93.87,
Sabaragamuwa Region,BOPF,SAB_BOPF_07426,0.325,20.14,96.42,
Sabaragamuwa Region,BOPF,SAB_BOPF_16630,0.291,16.6,92.38,
Sabaragamuwa Region,BOPF,SAB_BOPF_04561,0.303,16.75,93.44,
Sabaragamuwa Region,BOPF,SAB_BOPF_10480,0.219,20.0,94.83,
Sabaragamuwa Region,BOPF,SAB_BOPF_23886,0.246,19.06,93.69,
Sabaragamuwa Region,BOPF,SAB_BOPF_06943,0.35,19.84,93.16,
Sabaragamuwa Region,BOPF,SAB_BOPF_01196,0.357,24.23,93.27,
Sabaragamuwa Region,BOPF,SAB_BOPF_23978,0.434,20.31,93.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_27233,0.371,20.3,93.34,
Sabaragamuwa Region,BOPF,SAB_BOPF_22493,0.345,20.28,92.44,
Sabaragamuwa Region,BOPF,SAB_BOPF_21023,0.35,18.8,91.7,
Sabaragamuwa Region,BOPF,SAB_BOPF_03792,0.354,16.52,93.63,
Sabaragamuwa Region,BOPF,SAB_BOPF_07428,0.344,17.43,94.96,
Sabaragamuwa Region,BOPF,SAB_BOPF_02274,0.258,21.71,94.15,
Sabaragamuwa Region,BOPF,SAB_BOPF_26942,0.293,16.69,92.35,
Sabaragamuwa Region,BOPF,SAB_BOPF_17532,0.268,18.6,96.15,
Sabaragamuwa Region,BOPF,SAB_BOPF_24558,0.32,18.44,94.78,
Sabaragamuwa Region,BOPF,SAB_BOPF_08839,0.326,20.19,92.04,
Sabaragamuwa Region,BOPF,SAB_BOPF_02339,0.319,21.19,94.98,
Sabaragamuwa Region,BOPF,SAB_BOPF_26157,0.302,20.35,96.25,
Sabaragamuwa Region,BOPF,SAB_BOPF_07267,0.318,19.98,92.89,
Sabaragamuwa Region,BOPF,SAB_BOPF_12655,0.298,18.94,93.1,
Sabaragamuwa Region,BOPF,SAB_BOPF_29292,0.317,15.29,95.54,
Sabaragamuwa Region,BOPF,SAB_BOPF_11297,0.364,23.83,95.51,
Sabaragamuwa Region,BOPF,SAB_BOPF_35529,0.296,16.79,94.45,
Sabaragamuwa Region,BOPF,SAB_BOPF_09656,0.36,17.35,95.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_04840,0.338,21.18,97.47,
Sabaragamuwa Region,BOPF,SAB_BOPF_00772,0.39,20.63,93.57,
Sabaragamuwa Region,BOPF,SAB_BOPF_33431,0.329,24.43,95.41,
Sabaragamuwa Region,BOPF,SAB_BOPF_08276,0.29,19.99,93.94,
Sabaragamuwa Region,BOPF,SAB_BOPF_37338,0.367,19.99,93.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_01699,0.28,19.89,93.78,
Sabaragamuwa Region,BOPF,SAB_BOPF_00563,0.334,19.71,94.09,
Sabaragamuwa Region,BOPF,SAB_BOPF_06454,0.378,18.36,92.4,
Sabaragamuwa Region,BOPF,SAB_BOPF_18545,0.441,21.46,94.73,
Sabaragamuwa Region,BOPF,SAB_BOPF_15888,0.316,14.01,92.28,
Sabaragamuwa Region,BOPF,SAB_BOPF_08094,0.303,18.77,92.73,
Sabaragamuwa Region,BOPF,SAB_BOPF_16072,0.285,19.35,91.55,
Sabaragamuwa Region,BOPF,SAB_BOPF_29202,0.372,16.49,94.98,
Sabaragamuwa Region,BOPF,SAB_BOPF_03534,0.382,15.33,94.74,
Sabaragamuwa Region,BOPF,SAB_BOPF_29705,0.354,20.74,94.29,
Sabaragamuwa Region,BOPF,SAB_BOPF_22031,0.403,16.68,95.35,
Sabaragamuwa Region,BOPF,SAB_BOPF_15466,0.365,18.34,93.25,
Sabaragamuwa Region,BOPF,SAB_BOPF_05977,0.326,19.72,95.27,
Sabaragamuwa Region,BOPF,SAB_BOPF_18293,0.368,19.4,94.14,
Sabaragamuwa Region,BOPF,SAB_BOPF_09926,0.329,18.98,95.15,
Sabaragamuwa Region,BOPF,SAB_BOPF_12164,0.378,21.57,94.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_34809,0.397,20.17,90.89,
Sabaragamuwa Region,BOPF,SAB_BOPF_08615,0.385,17.09,95.3,
Sabaragamuwa Region,BOPF,SAB_BOPF_37540,0.322,17.19,94.06,
Sabaragamuwa Region,BOPF,SAB_BOPF_16766,0.334,18.03,94.07,
Sabaragamuwa Region,BOPF,SAB_BOPF_30697,0.4,18.36,94.14,
Sabaragamuwa Region,BOPF,SAB_BOPF_08653,0.328,15.71,93.62,
Sabaragamuwa Region,BOPF,SAB_BOPF_17755,0.389,18.97,93.79,
Sabaragamuwa Region,BOPF,SAB_BOPF_07575,0.317,16.97,94.12,
Sabaragamuwa Region,BOPF,SAB_BOPF_05083,0.414,17.56,92.14,
Sabaragamuwa Region,BOPF,SAB_BOPF_32067,0.315,16.99,93.0,
Sabaragamuwa Region,BOPF,SAB_BOPF_09714,0.36,18.71,92.26,
Sabaragamuwa Region,BOPF,SAB_BOPF_20714,0.286,18.64,93.03,
Sabaragamuwa Region,BOPF,SAB_BOPF_12311,0.392,20.55,94.39,
Sabaragamuwa Region,BOPF,SAB_BOPF_26693,0.329,21.37,93.12,
Sabaragamuwa Region,BOPF,SAB_BOPF_16103,0.259,15.2,94.08,
Sabaragamuwa Region,BOPF,SAB_BOPF_33355,0.277,20.18,95.61,
Sabaragamuwa Region,BOPF,SAB_BOPF_37641,0.395,20.11,95.43,
Sabaragamuwa Region,BOPF,SAB_BOPF_39710,0.371,18.53,93.02,
Sabaragamuwa Region,BOPF,SAB_BOPF_17449,0.359,23.89,95.88,
Sabaragamuwa Region,BOPF,SAB_BOPF_26354,0.335,19.65,93.33,
Sabaragamuwa Region,BOPF,SAB_BOPF_34587,0.331,16.48,95.37,
Sabaragamuwa Region,BOPF,SAB_BOPF_20994,0.402,19.38,94.88,
Sabaragamuwa Region,BOPF,SAB_BOPF_11130,0.287,17.64,93.81,
Sabaragamuwa Region,BOPF,SAB_BOPF_30636,0.322,15.71,92.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_14115,0.316,17.36,93.34,
Sabaragamuwa Region,BOPF,SAB_BOPF_10399,0.309,19.49,92.16,
Sabaragamuwa Region,BOPF,SAB_BOPF_20411,0.317,15.79,93.24,
Sabaragamuwa Region,BOPF,SAB_BOPF_11515,0.381,24.69,91.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_02565,0.366,21.38,94.84,
Sabaragamuwa Region,BOPF,SAB_BOPF_31162,0.343,20.14,92.13,
Sabaragamuwa Region,BOPF,SAB_BOPF_12200,0.377,16.84,94.62,
Sabaragamuwa Region,BOPF,SAB_BOPF_11876,0.317,21.91,95.06,
Sabaragamuwa Region,BOPF,SAB_BOPF_16964,0.352,20.03,93.85,
Sabaragamuwa Region,BOPF,SAB_BOPF_09044,0.241,19.17,94.1,
Sabaragamuwa Region,BOPF,SAB_BOPF_21275,0.336,15.32,95.49,
Sabaragamuwa Region,BOPF,SAB_BOPF_11441,0.394,20.54,92.19,
Sabaragamuwa Region,BOPF,SAB_BOPF_14375,0.378,14.54,93.95,
Sabaragamuwa Region,BOPF,SAB_BOPF_30735,0.32,21.0,93.67,
Sabaragamuwa Region,BOPF,SAB_BOPF_23105,0.346,17.38,93.84,
Sabaragamuwa Region,BOPF,SAB_BOPF_01372,0.379,20.62,93.57,
Sabaragamuwa Region,BOPF,SAB_BOPF_37628,0.302,13.99,94.17,
Sabaragamuwa Region,BOPF,SAB_BOPF_31563,0.308,16.86,94.67,
Sabaragamuwa Region,BOPF,SAB_BOPF_39115,0.31,19.36,94.57,
Sabaragamuwa Region,BOPF,SAB_BOPF_30420,0.245,19.67,93.56,
Sabaragamuwa Region,BOPF,SAB_BOPF_33332,0.344,17.53,94.86,
Sabaragamuwa Region,BOPF,SAB_BOPF_22789,0.329,19.45,94.72,
Sabaragamuwa Region,BOPF,SAB_BOPF_23101,0.355,19.03,94.3,
Sabaragamuwa Region,BOPF,SAB_BOPF_30666,0.287,20.27,94.53,
Sabaragamuwa Region,BOPF,SAB_BOPF_38102,0.312,17.18,93.85,
Sabaragamuwa Region,BOPF,SAB_BOPF_21648,0.354,17.34,93.03,
Sabaragamuwa Region,BOPF,SAB_BOPF_12679,0.296,17.74,96.33,
Sabaragamuwa Region,BOPF,SAB_BOPF_02576,0.317,20.26,92.37,
Sabaragamuwa Region,BOPF,SAB_BOPF_24179,0.381,16.48,94.28,
Sabaragamuwa Region,BOPF,SAB_BOPF_21480,0.41,19.72,97.13,
Sabaragamuwa Region,BOPF,SAB_BOPF_03518,0.311,16.87,93.96,
Sabaragamuwa Region,BOPF,SAB_BOPF_28527,0.303,17.3,94.41,
Sabaragamuwa Region,BOPF,SAB_BOPF_09533,0.262,20.81,94.68,
Sabaragamuwa Region,BOPF,SAB_BOPF_32049,0.266,19.43,94.74,
Sabaragamuwa Region,BOPF,SAB_BOPF_12863,0.341,23.84,93.98,
Sabaragamuwa Region,BOPF,SAB_BOPF_01400,0.317,18.56,94.86,
Sabaragamuwa Region,BOPF,SAB_BOPF_17215,0.323,19.35,93.11,
Sabaragamuwa Region,BOPF,SAB_BOPF_30743,0.283,13.97,93.82,
Sabaragamuwa Region,BOPF,SAB_BOPF_00761,0.293,21.24,96.09,
Sabaragamuwa Region,BOPF,SAB_BOPF_15004,0.272,16.02,92.58,
Sabaragamuwa Region,BOPF,SAB_BOPF_31402,0.34,21.58,93.96,
Sabaragamuwa Region,BOPF,SAB_BOPF_22988,0.304,15.97,94.35,
Sabaragamuwa Region,BOPF,SAB_BOPF_04170,0.291,19.04,93.91,
Sabaragamuwa Region,BOPF,SAB_BOPF_21841,0.324,17.74,93.1,
Sabaragamuwa Region,BOPF,SAB_BOPF_04286,0.394,17.42,93.59,
Sabaragamuwa Region,BOPF,SAB_BOPF_28621,0.387,18.49,91.83,
Sabaragamuwa Region,BOPF,SAB_BOPF_21284,0.367,17.67,94.11,
Sabaragamuwa Region,BOPF,SAB_BOPF_36487,0.365,17.45,93.77,
Sabaragamuwa Region,BOPF,SAB_BOPF_09800,0.37,18.21,95.93,
Sabaragamuwa Region,BOPF,SAB_BOPF_29970,0.353,18.05,93.19,
Sabaragamuwa Region,BOPF,SAB_BOPF_32763,0.398,20.88,94.18,
Sabaragamuwa Region,BOPF,SAB_BOPF_19460,0.393,19.01,95.89,
Sabaragamuwa Region,BOPF,SAB_BOPF_33479,0.318,18.88,93.62,
Sabaragamuwa Region,BOPF,SAB_BOPF_02471,0.311,16.53,93.98,
Sabaragamuwa Region,BOPF,SAB_BOPF_24051,0.299,18.02,95.18,
Sabaragamuwa Region,BOPF,SAB_BOPF_18838,0.297,13.62,95.78,
Sabaragamuwa Region,BOPF,SAB_BOPF_38868,0.34,22.51,91.57,
Sabaragamuwa Region,BOPF,SAB_BOPF_08635,0.349,17.76,94.1,
Sabaragamuwa Region,BOPF,SAB_BOPF_05378,0.357,20.13,94.83,
Sabaragamuwa Region,BOPF,SAB_BOPF_18663,0.348,17.79,93.01,
Sabaragamuwa Region,BOPF,SAB_BOPF_02714,0.337,21.61,93.52,
Sabaragamuwa Region,BOPF,SAB_BOPF_39840,0.386,18.9,94.69,
Sabaragamuwa Region,BOPF,SAB_BOPF_33446,0.3,17.16,91.64,
Sabaragamuwa Region,BOPF,SAB_BOPF_14655,0.33,18.76,93.59,
Sabaragamuwa Region,BOPF,SAB_BOPF_03872,0.338,16.46,93.77,
Sabaragamuwa Region,BOPF,SAB_BOPF_03186,0.335,20.29,97.18,
